airport_ref,airport_ident,length_ft,width_ft,lighted,closed
6884,06MD,60.0,60.0,1,0
6885,06MI,45.0,45.0,0,0
6885,06MI,45.0,45.0,0,0
6886,06MN,1500.0,60.0,0,0
6887,06MO,3000.0,30.0,1,0
6888,06MT,2200.0,60.0,0,0
6889,06N,2811.0,60.0,1,0
6890,06NC,2600.0,90.0,0,0
6891,06ND,2800.0,50.0,0,0
6892,06NE,130.0,95.0,0,0
6893,06NH,1900.0,150.0,0,0
6895,06NY,2000.0,75.0,0,0
6896,06O1,40.0,40.0,0,0
6897,06OH,2400.0,100.0,0,0
6898,06OI,2256.0,45.0,0,0
6899,06OK,300.0,100.0,0,0
6900,06OR,1000.0,80.0,0,0
6901,06PA,2965.0,100.0,0,0
45764,06PN,15.0,15.0,0,0
45764,06PN,80.0,80.0,0,0
6903,06R,2480.0,30.0,1,0
6904,06SN,2400.0,75.0,0,0
6905,06TA,1900.0,15.0,0,0
6906,06TE,3500.0,50.0,0,0
6907,06TN,2000.0,50.0,0,0
340868,06TT,3129.0,75.0,0,0
6909,06TX,1680.0,60.0,0,0
6910,06VA,2000.0,100.0,0,0
6911,06WA,60.0,40.0,0,0
15372,06WN,2845.0,30.0,1,0
6913,06XS,1750.0,100.0,0,0
6914,06Y,2997.0,60.0,1,0
6915,07AL,6000.0,1200.0,0,0
6916,07AR,3000.0,60.0,0,0
6918,07B,3186.0,100.0,0,0
6919,07CA,40.0,40.0,0,0
6920,07CL,2220.0,50.0,1,0
6921,07CO,3100.0,75.0,0,0
6923,07D,2244.0,65.0,1,0
6924,07FA,4500.0,70.0,1,0
6926,07FL,67.0,65.0,0,0
6927,07GA,1700.0,80.0,0,0
6928,07I,15000.0,4000.0,0,0
6929,07ID,3000.0,75.0,0,0
6930,07II,60.0,60.0,1,0
6931,07IN,1860.0,80.0,0,0
6932,07K,3700.0,60.0,1,0
6933,07KS,2000.0,45.0,0,0
6934,07KY,2000.0,100.0,0,0
6935,07LA,30.0,15.0,0,0
6936,07LS,50.0,50.0,0,0
6937,07MA,120.0,60.0,0,0
6938,07MD,1000.0,70.0,0,0
6939,07ME,900.0,200.0,0,0
6940,07MI,2904.0,100.0,0,0
6941,07MN,2600.0,50.0,0,0
6942,07MO,2700.0,40.0,0,0
6943,07MT,13500.0,300.0,1,0
6944,07N,2200.0,100.0,0,0
6945,07NC,2000.0,50.0,0,0
6946,07NH,2500.0,200.0,0,0
6946,07NH,2500.0,200.0,0,0
6947,07NJ,45.0,45.0,0,0
6948,07NY,50.0,50.0,1,0
6949,07OH,30.0,30.0,0,0
6950,07OK,2400.0,80.0,0,0
6951,07OR,1200.0,100.0,0,0
45747,07PN,1600.0,100.0,0,0
349103,07PR,45.0,45.0,1,0
6953,07TA,2200.0,125.0,1,1
6953,07TA,200.0,200.0,1,0
6954,07TE,5000.0,100.0,0,0
6955,07TN,1800.0,75.0,0,0
6956,07TS,2500.0,75.0,1,0
6957,07TX,400.0,50.0,0,0
6958,07VA,1600.0,50.0,0,0
6959,07VT,526.0,20.0,0,0
6959,07VT,595.0,20.0,0,0
6960,07WA,53.0,53.0,0,0
6961,07WI,1500.0,50.0,0,0
346208,07WY,2200.0,50.0,0,0
341553,07XA,37.0,37.0,0,0
6962,07XS,30.0,30.0,0,0
6963,07Y,2850.0,150.0,0,0
45248,08AK,1200.0,80.0,0,0
332752,08AL,4000.0,200.0,0,0
6964,08AR,50.0,50.0,0,0
6965,08AZ,42.0,42.0,0,0
6966,08B,1935.0,100.0,1,0
6967,08CA,60.0,60.0,0,0
6968,08CL,2000.0,50.0,0,0
45316,08CN,50.0,50.0,1,0
6969,08CO,2600.0,75.0,0,0
6970,08CT,4700.0,1400.0,0,0
6971,08F,2584.0,80.0,0,0
6972,08FA,3390.0,75.0,0,0
6973,08FD,4138.0,104.0,0,0
6974,08FL,2500.0,100.0,0,0
6975,08G,60.0,56.0,0,0
6976,08GA,5000.0,150.0,1,0
6977,08ID,2500.0,60.0,0,0
6978,08II,30.0,30.0,0,0
6979,08IL,2200.0,75.0,0,0
45416,08IN,5000.0,1600.0,0,0
6980,08IS,1320.0,70.0,0,0
6981,08KS,2700.0,99.0,1,0
6982,08KY,2500.0,60.0,0,0
6983,08LA,30.0,15.0,0,0
6984,08LL,2190.0,100.0,0,0
6985,08LS,2000.0,60.0,0,0
6986,08MA,1000.0,18.0,0,0
6987,08MD,45.0,45.0,1,0
6988,08ME,2300.0,90.0,0,0
6989,08MI,60.0,60.0,1,0
6990,08MN,11088.0,6000.0,0,0
6991,08MO,2640.0,50.0,0,0
6991,08MO,2140.0,48.0,0,0
6992,08MS,3725.0,50.0,1,0
6993,08MT,2600.0,80.0,0,0
6994,08N,2635.0,120.0,1,0
6995,08NC,3200.0,50.0,0,0
6996,08ND,1300.0,75.0,0,0
6997,08NE,3000.0,100.0,1,0
6998,08NH,80.0,80.0,1,0
6999,08NJ,90.0,90.0,0,0
345570,08NR,1400.0,40.0,0,0
7000,08NY,550.0,60.0,0,0
7000,08NY,500.0,40.0,0,0
7001,08OH,3000.0,50.0,0,0
7002,08OK,1800.0,50.0,1,0
327859,08OL,1029.0,40.0,0,0
7003,08OR,2800.0,20.0,0,0
7004,08PA,200.0,150.0,0,0
7005,08PN,50.0,50.0,0,0
7006,08R,2129.0,30.0,1,0
345365,08SD,42.0,42.0,0,0
7007,08TA,200.0,100.0,0,0
7008,08TE,3100.0,50.0,0,0
343404,08TT,2015.0,75.0,0,0
7010,08TX,2100.0,30.0,1,0
7010,08TX,1800.0,100.0,0,0
7011,08U,3600.0,50.0,0,0
7012,08VA,1800.0,50.0,0,0
7013,08WA,100.0,100.0,0,0
7015,08XS,2350.0,100.0,0,0
329058,09AA,22.0,24.0,0,0
45270,09AK,1300.0,60.0,0,0
7016,09AR,135.0,100.0,0,0
7017,09AZ,2350.0,80.0,0,0
7018,09CA,65.0,65.0,1,0
7019,09CL,3000.0,50.0,0,0
45317,09CN,50.0,50.0,1,0
7020,09CO,3250.0,65.0,0,0
7021,09FA,4800.0,50.0,1,0
7022,09FD,2649.0,100.0,0,0
7023,09FL,3000.0,150.0,0,0
7024,09GA,2400.0,70.0,0,0
7025,09I,5000.0,1000.0,0,0
7025,09I,5000.0,1000.0,0,0
7026,09IA,2700.0,80.0,0,0
7027,09ID,2300.0,100.0,0,0
7028,09II,1600.0,100.0,0,0
7029,09IL,40.0,40.0,0,0
7030,09IN,2200.0,70.0,1,0
7030,09IN,2200.0,50.0,0,0
7031,09IS,39.0,31.0,0,0
7032,09KS,2500.0,60.0,0,0
7033,09KY,50.0,50.0,0,0
7034,09LA,50.0,50.0,0,0
7035,09LL,2300.0,80.0,0,0
7036,09LS,40.0,40.0,1,0
7037,09MA,1700.0,50.0,0,0
7037,09MA,2000.0,100.0,0,0
7038,09ME,2000.0,100.0,0,0
7039,09MI,40.0,40.0,0,0
7041,09MO,1320.0,50.0,0,0
7042,09N,1863.0,75.0,0,0
7043,09NC,2400.0,80.0,0,0
7044,09NE,2500.0,50.0,0,0
7045,09NJ,100.0,100.0,0,0
324843,09NR,1800.0,35.0,0,0
324843,09NR,24.0,24.0,0,0
324843,09NR,24.0,24.0,0,0
7046,09NY,100.0,100.0,0,0
7047,09OK,2500.0,50.0,0,0
7048,09OR,50.0,50.0,0,0
7049,09PA,2300.0,200.0,0,0
7051,09S,1765.0,150.0,0,0
14580,09TA,2400.0,40.0,0,0
7052,09TE,2815.0,45.0,0,0
7053,09TN,80.0,80.0,0,0
7054,09TS,4200.0,42.0,0,0
7055,09TX,2340.0,120.0,0,0
7055,09TX,1220.0,120.0,0,0
7055,09TX,5200.0,120.0,0,0
7056,09VA,1100.0,50.0,0,0
7057,09VG,96.0,60.0,1,0
7058,09W,60.0,60.0,0,0
7059,09WA,60.0,60.0,0,0
7060,09WI,2500.0,100.0,0,0
7061,09XS,90.0,90.0,0,0
7062,09Y,8000.0,500.0,0,0
325323,0AA7,2539.0,100.0,0,0
7063,0AK,2541.0,55.0,1,0
7064,0AK0,1050.0,70.0,0,0
7065,0AK1,3000.0,2000.0,0,0
7065,0AK1,2200.0,50.0,0,0
45273,0AK2,1000.0,150.0,0,0
