ident,type,name,latitude_deg,longitude_deg,continent,iso_region,municipality,iata_code,airport_ref,airport_ident,lighted,closed,elevacion,longitud_pista,ancho_pista
VICG,medium_airport,Chandigarh Airport,30.67350006103516,76.78849792480469,AS,IN-CH,Chandigarh,IXC,0.0,0,0.0,0.0,3320.21,0.0,0.0
VICX,medium_airport,Kanpur Airport,26.404301,80.410103,AS,IN-UP,Kanpur,KNU,0.0,0,0.0,0.0,1345.14,0.0,0.0
VIDN,medium_airport,Dehradun Airport,30.189698999999997,78.180298,AS,IN-UL,Dehradun,DED,0.0,0,0.0,0.0,6007.22,0.0,0.0
VIDP,large_airport,Indira Gandhi International Airport,28.5665,77.103104,AS,IN-DL,New Delhi,DEL,0.0,0,0.0,0.0,2549.21,0.0,0.0
VIF,heliport,Vieste Heliport,41.866417,16.165116,EU,IT-75,Vieste,VIF,0.0,0,0.0,0.0,45.93,0.0,0.0
VIGG,medium_airport,Kangra Airport,32.1651,76.263397,AS,IN-HP,Gaggal,DHM,0.0,0,0.0,0.0,8284.12,0.0,0.0
VIGR,medium_airport,Gwalior Airport,26.29330062866211,78.22779846191406,AS,IN-MP,Gwalior,GWL,0.0,0,0.0,0.0,2024.28,0.0,0.0
VIJO,medium_airport,Jodhpur Airport,26.25110054016113,73.04889678955078,AS,IN-RJ,Jodhpur,JDH,0.0,0,0.0,0.0,2352.36,0.0,0.0
VIJP,medium_airport,Jaipur International Airport,26.8242,75.812202,AS,IN-RJ,Jaipur,JAI,0.0,0,0.0,0.0,4143.7,0.0,0.0
VIJU,medium_airport,Jammu Airport,32.688849,74.83815200000001,AS,IN-JK,Jammu,IXJ,0.0,0,0.0,0.0,3267.72,0.0,0.0
VIKO,medium_airport,Kota Airport,25.160200119000002,75.84559631350001,AS,IN-RJ,Kota,KTU,0.0,0,0.0,0.0,2939.63,0.0,0.0
VILH,medium_airport,Leh Kushok Bakula Rimpochee Airport,34.135898590100005,77.5465011597,AS,IN-JK,Leh,IXL,0.0,0,0.0,0.0,35045.93,0.0,0.0
VILK,medium_airport,Chaudhary Charan Singh International Airport,26.7605991364,80.8892974854,AS,IN-UP,Lucknow,LKO,0.0,0,0.0,0.0,1345.14,0.0,0.0
VIPK,medium_airport,Pathankot Airport,32.233610999999996,75.63444399999999,AS,IN-PB,Pathankot,IXP,0.0,0,0.0,0.0,3336.61,0.0,0.0
VIPT,medium_airport,Pantnagar Airport,29.0334,79.473701,AS,IN-UP,Pantnagar,PGH,0.0,0,0.0,0.0,2522.97,0.0,0.0
VISM,small_airport,Shimla Airport,31.0818,77.068001,AS,IN-HP,Jubbarhatti,SLV,0.0,0,0.0,0.0,16640.42,0.0,0.0
VISR,medium_airport,Sheikh ul Alam Airport,33.987098693847656,74.77420043945312,AS,IN-JK,Srinagar,SXR,0.0,0,0.0,0.0,17811.68,0.0,0.0
VIV,small_airport,Vivigani Airfield,-9.30333333333,150.318888889,OC,PG-MBA,Vivigani,VIV,0.0,0,0.0,0.0,383.86,0.0,0.0
