ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_region,municipality,iata_code
URB,closed,Urubupunga Airport,-20.777099609375,-51.564800262451,1169.0,SA,BR-SP,Castilho,URB
URKA,medium_airport,Anapa Vityazevo Airport,45.002101898193,37.347301483154,174.0,EU,RU-KDA,Anapa,AAQ
URKE,medium_airport,Yeysk Airport,46.68,38.21,60.0,EU,RU-KDA,Yeysk,EIK
URKG,medium_airport,Gelendzhik Airport,44.582092629499996,38.0124807358,98.0,EU,RU-KDA,Gelendzhik,GDZ
URKK,medium_airport,Krasnodar Pashkovsky International Airport,45.034698486328004,39.170501708984,118.0,EU,RU-KDA,Krasnodar,KRR
URML,medium_airport,Uytash Airport,42.81679916381836,47.65230178833008,12.0,EU,RU-DA,Makhachkala,MCX
URMM,medium_airport,Mineralnyye Vody Airport,44.22510147094727,43.08190155029297,1054.0,EU,RU-STA,Mineralnyye Vody,MRV
URMN,medium_airport,Nalchik Airport,43.51290130615234,43.63660049438477,1461.0,EU,RU-KB,Nalchik,NAL
URMO,medium_airport,Beslan Airport,43.2051010132,44.606601715100005,1673.0,EU,RU-SE,Beslan,OGZ
URMS,medium_airport,Magas Airport,43.3222999573,45.0125999451,1165.0,EU,RU-IN,Magas,IGT
URMT,medium_airport,Stavropol Shpakovskoye Airport,45.10919952392578,42.11280059814453,1486.0,EU,RU-STA,Stavropol,STW
URRP,large_airport,Platov International Airport,47.493888,39.924721999999996,213.0,EU,RU-ROS,Rostov-on-Don,ROV
URRR,closed,Rostov-on-Don Airport,47.258203,39.8181,280.0,EU,RU-ROS,Rostov-on-Don,RVI
URRT,medium_airport,Taganrog Yuzhny Airport,47.1983333,38.849166700000005,117.0,EU,RU-ROS,Taganrog,TGK
URSS,large_airport,Sochi International Airport,43.449902,39.9566,89.0,EU,RU-KDA,Sochi,AER
URWA,medium_airport,Astrakhan Airport,46.2832984924,48.0063018799,-65.0,EU,RU-AST,Astrakhan,ASF
URWI,medium_airport,Elista Airport,46.3739013671875,44.33089828491211,501.0,EU,RU-KL,Elista,ESL
URWW,medium_airport,Volgograd International Airport,48.78250122070313,44.34550094604492,482.0,EU,RU-VGG,Volgograd,VOG
USCC,medium_airport,Chelyabinsk Balandino Airport,55.305801,61.5033,769.0,EU,RU-CHE,Chelyabinsk,CEK
USCM,medium_airport,Magnitogorsk International Airport,53.39310073852539,58.75569915771485,1430.0,EU,RU-BA,Magnitogorsk,MQF
USDA,medium_airport,Sabetta International Airport,71.219167,72.052222,46.0,EU,RU-YAN,Sabetta,SBT
USDD,medium_airport,Salekhard Airport,66.59079742431639,66.61100006103516,218.0,AS,RU-YAN,Salekhard,SLY
USDK,small_airport,Mys Kamenny Airport,68.467676,73.596733,98.0,EU,RU-YAN,Mys Kamennyi,YMK
USDP,small_airport,Krasnoselkup Airport,65.717,82.455,101.0,EU,RU-YAN,Krasnoselkup,KKQ
USDS,small_airport,Tarko-Sale Airport,64.930485,77.811295,82.0,EU,RU-YAN,Tarko-Sale,TQL
